words	frequency	left-entropy	right-entropy	combinality
四 	 1280 	 5.594718 	 5.787579 	 0 	 
果 	 1274 	 3.526704 	 5.828385 	 0 	 
给 	 1273 	 6.805056 	 6.717843 	 0 	 
没 	 1272 	 6.114398 	 2.440872 	 0 	 
首 	 1271 	 6.269425 	 4.618009 	 0 	 
协 	 1271 	 5.828546 	 4.776750 	 0 	 
投 	 1267 	 6.938505 	 2.555118 	 0 	 
支 	 1266 	 6.365530 	 4.537889 	 0 	 
管理 	 1263 	 6.639587 	 5.718775 	 0 	 
城 	 1262 	 6.735846 	 4.527473 	 0 	 
推 	 1260 	 6.214838 	 3.299686 	 0 	 
至 	 1254 	 5.444039 	 5.562545 	 0 	 
乡 	 1246 	 6.083694 	 5.432671 	 0 	 
样 	 1234 	 3.385052 	 5.230479 	 0 	 
回 	 1232 	 6.868045 	 5.672908 	 0 	 
常 	 1232 	 5.012607 	 6.299961 	 0 	 
片 	 1232 	 3.399613 	 3.669395 	 0 	 
美国 	 1231 	 4.870451 	 6.755632 	 0 	 
神 	 1227 	 2.329056 	 4.869837 	 0 	 
变 	 1224 	 5.861105 	 5.083462 	 0 	 
思 	 1220 	 5.794426 	 3.316160 	 0 	 
只 	 1220 	 5.016047 	 4.770187 	 0 	 
地区 	 1219 	 6.032843 	 6.057458 	 0 	 
选 	 1218 	 6.345277 	 4.820977 	 0 	 
服 	 1216 	 6.759907 	 2.399149 	 0 	 
示 	 1211 	 2.785193 	 5.149457 	 0 	 
几 	 1210 	 5.970162 	 4.589954 	 0 	 
标 	 1207 	 5.196716 	 4.651737 	 0 	 
争 	 1206 	 3.792097 	 5.575946 	 0 	 
证 	 1204 	 5.828303 	 4.988252 	 0 	 
整 	 1204 	 4.770351 	 4.975467 	 0 	 
主义 	 1204 	 2.676251 	 5.435295 	 0 	 
视 	 1201 	 3.310715 	 6.197754 	 0 	 
生产 	 1196 	 6.546323 	 5.903004 	 0 	 
贫 	 1196 	 4.462571 	 4.160266 	 0 	 
优 	 1193 	 6.415863 	 3.672657 	 0 	 
我国 	 1193 	 4.250535 	 7.071798 	 0 	 
接 	 1190 	 6.026376 	 5.822684 	 0 	 
极 	 1185 	 3.361611 	 6.145465 	 0 	 
纪 	 1183 	 4.484996 	 5.097041 	 0 	 
查 	 1183 	 4.324253 	 6.035240 	 0 	 
流 	 1175 	 6.418753 	 5.706618 	 0 	 
那 	 1171 	 5.283590 	 5.820038 	 0 	 
专 	 1170 	 6.852388 	 4.058813 	 0 	 
反 	 1163 	 6.319641 	 4.661172 	 0 	 
续 	 1161 	 2.018257 	 6.613399 	 0 	 
尔 	 1159 	 5.843428 	 6.315241 	 0 	 
被 	 1156 	 7.050346 	 7.905018 	 0 	 
周 	 1155 	 5.339151 	 5.733761 	 0 	 
见 	 1153 	 4.875065 	 5.591908 	 0 	 
王 	 1149 	 3.992505 	 7.562386 	 0 	 
百 	 1145 	 5.693795 	 5.462150 	 0 	 
做 	 1141 	 6.646310 	 5.183301 	 0 	 
头 	 1136 	 6.701873 	 5.993170 	 0 	 
单 	 1135 	 6.480906 	 3.646130 	 0 	 
营 	 1134 	 3.439151 	 5.844442 	 0 	 
